Name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
BRADLY ,:,:,:,:,:,:,5,3,7,4,7,4,10,11,7,11,3,5,10,5
BRADON ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,3,4,4,:,:,:
BRADY ,22,22,15,31,24,24,34,31,28,26,34,57,35,17,30,26,18,25,26,32
BRADYN ,:,3,3,:,3,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
BRAE ,4,5,7,:,3,7,9,6,4,:,4,5,:,:,:,5,:,:,:,:
BRAEDAN ,:,:,4,3,:,3,3,6,:,:,:,:,:,:,:,:,:,:,:,:
BRAEDEN ,14,8,9,10,11,12,21,10,6,10,6,8,6,:,:,4,:,:,:,:
BRAEDON ,:,5,3,5,6,9,3,8,6,5,6,3,:,3,:,:,:,:,:,:
BRAEDYN ,:,:,:,:,:,3,:,5,:,:,3,:,:,:,:,:,:,:,:,:
BRAELYN ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAHIM ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
BRAIAN ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
BRAIDAN ,:,:,:,:,4,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
BRAIDEN ,13,11,23,27,25,29,17,23,22,19,13,11,12,5,4,10,3,6,7,:
BRAIDEN-LEE ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAIDON ,:,3,3,5,7,:,5,3,:,4,4,6,:,:,:,:,:,:,:,:
BRAIDY ,:,:,4,3,:,:,:,:,:,:,5,:,:,:,5,:,:,3,:,:
BRAIENS ,:,:,4,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAITH ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAJAN ,6,8,7,5,10,:,4,9,5,:,:,:,:,:,:,:,:,:,:,:
BRAJEN ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAM ,13,10,9,10,:,7,5,4,:,8,6,7,6,:,3,3,:,4,4,4
BRAMLEY ,:,:,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAMWELL ,8,4,6,4,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,3
BRAN ,11,4,7,8,:,:,3,3,:,:,:,3,:,3,3,:,:,:,:,:
BRANDAN ,3,5,4,5,11,17,24,21,22,35,44,40,33,41,44,51,51,41,37,22
BRANDEN ,4,:,10,7,17,15,18,26,16,27,26,26,32,25,39,39,32,29,24,19
BRANDEN-LEE ,:,:,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:
BRANDO ,:,:,:,:,:,:,:,5,:,:,:,:,:,3,3,:,:,:,:,:
BRANDON ,266,269,343,382,538,697,801,1012,1167,1357,1433,1542,1720,1848,1895,2209,2298,2142,2184,1337
BRANDON- ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,3,:,:,:,:
BRANDON-JAMES ,:,:,:,:,:,4,:,:,:,:,3,3,:,:,:,:,:,:,:,:
BRANDONLEE ,:,3,:,:,:,:,5,4,:,3,3,4,5,:,:,6,:,:,4,3
BRANDON-LEE ,9,7,12,17,15,21,26,20,21,19,27,32,24,16,16,18,25,22,19,9
BRANDON-LEIGH ,:,:,:,:,:,:,:,3,:,3,:,:,:,:,:,:,:,:,:,:
BRANDYN ,:,:,:,4,:,3,3,5,6,:,:,6,7,9,4,6,6,:,:,:
BRANNAN ,:,:,:,:,:,:,:,:,4,3,:,7,:,:,6,5,:,4,3,3
BRANNON ,3,:,:,4,3,3,:,:,6,7,5,5,12,11,4,4,3,5,10,8
BRANON ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:
BRANSON ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRANT ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:
BRAULIO ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
BRAX ,18,17,31,17,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAXSON ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAXSTON ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAXTON ,70,58,76,63,17,3,:,:,:,:,6,6,:,:,:,:,:,:,:,:
BRAY ,8,9,8,5,6,9,13,7,5,5,6,4,5,6,7,7,3,:,:,:
BRAYAN ,12,9,13,10,5,7,7,7,6,3,:,:,:,:,:,:,:,:,:,:
BRAYDAN ,3,:,5,:,5,6,3,9,9,4,6,:,:,:,3,:,:,:,:,:
BRAYDEN ,109,94,97,107,139,121,108,141,96,80,50,32,33,17,17,13,15,10,12,7
BRAYDEN-LEE ,3,:,5,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
BRAYDN ,:,:,:,3,:,:,4,:,:,:,3,:,:,:,3,:,:,:,:,:
BRAYDON ,42,29,33,34,55,57,61,66,44,33,23,25,25,9,12,15,9,4,4,7
BRAYEN ,3,3,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAYLAN ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAYLEN ,4,:,3,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAYLIN ,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAYLON ,6,3,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRAYSON ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRECKIN ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRECON ,:,3,:,:,:,:,:,:,:,:,3,3,:,:,:,3,:,:,:,:
BREEZE ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BREMNER ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
BREN ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRENDAN ,44,52,58,80,78,87,107,88,125,122,114,130,149,173,177,214,196,216,216,192
BRENDAN-LEE ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,3,:,:,:,:
BRENDEN ,:,5,8,7,12,11,12,10,9,15,16,17,13,19,19,14,23,9,16,8
BRENDON ,11,20,20,20,20,30,28,38,40,35,49,51,48,48,60,59,64,64,36,56
BRENDYN ,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:
BRENIN ,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRENNAN ,13,10,20,22,18,16,20,24,25,25,26,18,24,37,35,35,31,24,23,20
BRENNEN ,:,:,:,:,:,:,:,4,3,4,:,:,:,:,:,3,:,:,:,4
BRENNIG ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:
BRENNON ,:,:,:,:,:,:,:,3,:,:,:,3,3,3,:,:,3,:,:,3
BRENT ,3,:,4,8,6,6,10,4,11,6,19,6,8,11,14,19,14,32,22,16
BRENTLEY ,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:
BRENTON ,4,3,:,:,:,:,:,:,:,4,7,:,3,:,6,:,5,:,:,4
BRET ,:,:,:,:,4,9,6,6,9,3,6,6,11,5,5,7,10,17,9,16
BRETT ,18,12,16,20,24,27,27,37,48,54,61,66,83,97,74,117,134,148,179,214
BRETTON ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
BREYDON ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
BRIAN ,114,108,102,111,121,86,104,121,121,85,107,87,104,89,98,75,84,95,99,113
BRICE ,3,:,:,:,:,3,:,4,5,:,6,3,3,7,3,9,4,3,:,3
BRIGHT ,5,3,4,7,5,7,3,5,5,8,:,:,:,4,:,:,:,:,:,:
BRIJESH ,:,:,:,3,3,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:
BRILEY ,:,:,3,5,6,3,3,:,:,3,:,:,:,:,:,:,:,:,:,:
BRIN ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:
BRINDLEY ,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,3,:,3,:
BRINLEY ,14,11,10,6,7,5,7,7,7,10,3,5,9,4,5,3,6,5,:,:
BROC ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BROCK ,9,12,9,9,5,10,9,5,7,6,4,8,11,9,5,:,:,:,7,:
BRODAN ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
BRODEE ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRODEN ,4,7,10,15,9,10,11,15,7,8,6,:,3,:,:,3,:,:,:,:
BRODERICK ,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRODEY ,8,11,11,13,11,9,14,:,3,3,6,7,:,:,3,:,:,:,:,:
BRODI ,4,:,4,8,7,9,:,:,4,4,8,4,5,3,:,:,:,3,:,:
BRODIE ,179,189,164,155,145,135,127,100,74,91,103,99,68,66,54,44,59,46,49,46
BRODIE-LEE ,5,5,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRODY ,381,373,331,273,228,213,153,103,74,75,63,66,41,45,25,13,18,18,29,12
BRODY-LEE ,4,5,5,5,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BROGAN ,58,54,50,52,54,66,56,71,68,48,48,40,41,38,33,39,29,32,33,34
BROGAN-LEE ,:,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:
BROGEN ,:,3,:,:,4,:,4,:,:,:,:,:,:,:,:,:,3,:,:,:
BROGHAN ,:,:,:,:,4,:,:,3,:,:,3,:,:,:,:,:,:,:,:,:
BROGUN ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRONSON ,16,12,16,15,9,10,11,8,:,4,6,10,5,4,3,5,:,5,:,5
BROOK ,11,7,9,14,12,24,18,29,28,31,45,46,41,27,27,37,25,12,13,16
BROOKE ,:,3,4,5,3,3,8,13,9,9,16,22,15,11,11,9,7,3,11,4
BROOKLAN ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:
BROOKLIN ,3,:,:,:,:,:,4,3,:,3,:,:,:,:,:,:,:,:,:,:
BROOKLYN ,136,109,145,152,164,190,182,203,189,144,104,114,112,98,91,87,42,:,6,:
BROOKLYN-LEE ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BROOKS ,:,4,:,:,3,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
BRUCE ,63,55,57,43,44,51,44,43,37,27,35,39,33,20,22,26,24,41,36,39
BRUIN ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:
BRUK ,5,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRUNO ,109,91,80,83,61,48,56,79,67,73,49,46,38,34,19,39,17,22,17,16
BRUSK ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:
BRYAN ,89,86,79,76,67,52,58,66,59,59,64,40,33,37,34,28,38,35,38,39
BRYANT ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BRYCE ,23,14,19,24,26,30,30,32,32,27,49,32,43,26,36,31,31,25,31,26
BRYCEN ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
BRYCHAN ,3,5,:,:,4,8,4,6,4,4,9,7,3,:,5,3,:,:,3,6
BRYDEN ,:,:,3,:,:,3,:,:,:,3,:,:,:,:,:,:,:,:,:,3
BRYDON ,:,:,:,:,4,:,:,:,4,4,:,:,:,:,3,:,:,:,:,:
BRYLEY ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
BRYN ,30,33,38,37,26,43,54,73,79,101,85,97,95,67,71,72,85,79,83,84
BRYNLEE ,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:
BRYNLEY ,15,10,8,5,4,12,9,12,13,10,9,14,3,3,8,9,9,:,4,5
BRYNMOR ,3,:,:,:,:,:,:,4,3,:,3,3,5,:,4,3,:,:,:,4
BRYNN ,:,:,3,3,3,:,9,4,7,7,4,7,4,7,4,:,:,:,3,5
BRYON ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
BRYSON ,17,15,12,8,6,5,5,4,5,8,3,:,3,:,:,3,:,:,4,3
BRYTHON ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:
BUBACARR ,:,:,:,:,3,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUCK ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUCKLEY ,:,3,:,:,:,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUDDIE ,:,:,4,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUDDY ,153,152,114,122,66,35,22,23,14,17,16,13,9,12,6,9,6,:,:,4
BUKHARI ,:,:,:,:,3,:,3,:,4,:,:,:,:,:,:,:,:,:,:,:
BULENT ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:
BULUT ,:,:,:,:,4,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
BURAK ,8,4,6,5,5,12,8,16,8,10,8,9,7,10,11,9,5,7,4,13
BURHAAN ,:,3,3,:,:,:,5,5,3,:,:,:,:,4,:,:,:,:,:,:
BURHAN ,6,10,4,9,12,11,17,4,8,7,9,5,9,11,:,6,15,10,11,:
BURHANUDDIN ,14,12,8,5,6,:,7,:,:,:,:,:,:,:,:,:,:,3,:,:
BURT ,7,:,4,:,:,:,:,:,3,:,3,3,:,:,:,:,:,:,:,:
BURTON ,:,4,:,:,:,:,3,4,:,:,:,:,:,:,:,:,:,:,:,:
BUSBY ,3,:,:,3,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BUSTER ,29,40,35,18,12,12,13,8,3,6,8,12,6,12,7,11,7,5,7,6
BUZZ ,9,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
BYRAN ,:,:,3,:,:,5,:,:,:,7,:,4,4,5,5,:,3,:,:,:
BYREN ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:
BYRON ,71,63,72,71,98,77,90,99,95,121,108,137,131,157,178,202,147,71,68,46
C ,3,:,:,3,:,7,5,4,7,8,:,4,:,5,3,:,:,:,:,:
CAAN ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:
CABDI ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
CABHAN ,:,3,3,:,3,3,:,:,3,:,:,:,:,:,3,:,:,:,:,:
CADAN ,6,7,4,7,12,8,9,15,14,18,8,7,13,16,4,4,8,6,4,:
CADE ,29,24,31,32,33,25,37,30,36,29,30,26,36,36,42,31,40,16,18,14
CADEL ,4,:,4,5,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CADELL ,:,:,:,:,:,:,3,3,3,:,:,:,:,4,4,3,4,:,3,:
CADEN ,69,79,77,107,145,205,176,165,142,154,75,61,48,38,10,5,5,3,:,:
CADEN-JAMES ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CADEN-LEE ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CADON ,:,:,:,:,:,:,3,:,:,3,:,:,:,:,:,:,:,:,:,:
CADYN ,:,4,:,:,:,:,6,4,:,:,:,:,:,:,:,:,:,:,:,:
CAE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:
CAEDAN ,:,:,4,:,5,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:
CAEDEN ,9,10,9,9,8,9,9,6,10,4,4,:,5,:,:,:,:,:,:,:
CAEDMON ,:,:,:,:,:,:,:,:,4,:,:,4,:,:,:,:,:,:,:,:
CAEDON ,:,:,:,3,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:
CAEDYN ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
CAEL ,7,11,10,7,11,9,4,7,14,10,7,9,7,8,8,5,3,:,4,:
CAELAB ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAELAN ,110,73,69,87,101,101,78,69,41,40,37,27,14,16,20,13,4,9,16,9
CAELEB ,:,:,:,:,8,6,3,3,4,3,:,:,:,:,:,:,:,:,:,:
CAELEN ,4,7,6,9,13,17,13,11,8,:,:,4,:,:,:,:,:,:,:,:
CAELIN ,:,:,:,:,:,3,:,:,3,:,:,:,:,:,:,:,:,:,:,:
CAELUM ,4,4,3,7,3,3,:,4,7,:,3,5,:,:,:,4,:,:,3,:
CAELYN ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAEN ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4
CAERAN ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:
CAERON ,:,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,4,:,:,:
CAERWYN ,4,3,:,:,:,:,4,:,5,5,3,:,:,:,:,:,:,:,:,:
CAESAR ,11,3,:,4,6,3,7,6,:,3,:,:,:,:,:,:,:,:,:,:
CAETANO ,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAGAN ,:,:,9,:,4,:,3,3,3,4,:,:,:,:,:,:,:,:,:,:
CAGDAS ,:,:,:,:,:,:,3,3,:,:,:,:,:,:,:,:,:,:,:,3
CAHAL ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,3,3,:
CAHILL ,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAI ,91,85,98,86,107,120,142,145,146,192,148,120,138,102,89,94,59,77,62,46
CAIAN ,4,6,:,9,5,3,8,6,7,8,3,3,:,:,:,:,:,:,:,:
CAID ,:,:,3,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:
CAIDAN ,:,3,6,5,9,13,6,13,12,3,5,4,:,:,:,:,:,:,3,:
CAIDE ,:,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:
CAIDEN ,137,149,147,169,194,191,144,145,139,104,45,27,8,8,8,5,3,4,3,:
CAIDEN-JAMES ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAIDEN-LEE ,:,:,:,4,3,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
CAIDON ,:,:,3,:,4,6,5,:,4,4,:,:,:,:,:,:,:,:,:,:
CAILAN ,3,11,13,13,5,12,7,9,4,12,17,10,3,4,8,3,:,6,6,:
CAILEAN ,3,4,:,:,:,7,3,:,4,:,:,3,:,:,3,:,6,:,3,3
CAILEB ,:,4,3,3,3,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:
CAILEM ,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,3
CAILEN ,5,4,7,7,6,11,12,4,5,13,7,5,:,:,:,:,4,:,:,3
CAILIN ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAILLEN ,:,:,:,3,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
CAILUM ,:,:,:,3,:,4,3,5,:,3,3,:,4,3,3,5,4,3,:,4
CAIN ,53,61,71,71,68,82,69,74,91,112,116,115,100,119,191,111,93,67,65,83
CAINAN ,:,3,:,5,:,3,:,:,3,:,:,:,:,:,:,4,:,:,3,:
CAINE ,17,9,10,12,11,25,32,30,31,28,28,35,37,43,80,66,40,53,52,51
CAIO ,27,32,31,26,31,20,21,21,18,17,8,5,8,4,5,6,3,3,:,5
CAIRAN ,3,6,:,:,:,7,5,5,6,5,:,:,8,4,3,:,:,5,6,3
CAIRO ,62,45,56,49,37,43,33,27,18,27,18,22,11,10,9,9,13,10,10,6
CAIRON ,10,11,10,11,11,19,42,4,:,:,:,:,:,3,:,5,:,:,:,:
CAISON ,4,4,6,3,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAIUS ,19,30,19,17,20,14,15,12,15,14,12,6,6,9,15,11,11,7,12,5
CAL ,14,12,11,5,4,7,4,5,3,6,6,12,14,:,5,6,6,10,6,4
CALAM ,:,:,:,:,:,:,:,:,:,3,3,:,3,3,:,5,4,4,5,9
CALAN ,8,10,7,6,9,9,9,8,10,9,8,5,8,4,12,4,6,6,3,12
CALDER ,5,:,:,3,3,:,:,:,:,:,5,:,:,:,3,:,:,:,:,3
CALE ,7,5,:,3,6,6,12,14,6,6,5,9,15,8,11,8,6,10,6,10
CALEB ,659,648,679,763,709,747,615,539,458,420,388,318,268,216,242,245,213,227,278,177
CALEB-JAMES ,:,5,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CALEDON ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:
CALEM ,:,:,:,:,4,:,3,:,4,3,:,3,3,:,6,6,4,6,:,9
CALEN ,7,:,7,3,:,5,3,6,:,:,5,4,5,5,:,:,:,:,4,4
CALEY ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5,:,:
CALI ,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CALIB ,:,:,:,3,3,3,3,6,3,3,:,:,:,:,:,:,3,3,3,:
CALIN ,3,6,3,5,:,3,5,4,:,:,5,:,:,:,:,:,:,:,:,:
CALIX ,:,5,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
CALIXTE ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CALLAGHAN ,:,:,:,:,:,:,3,:,:,5,:,:,:,:,4,3,:,:,:,:
CALLAM ,:,:,4,3,4,5,8,6,7,17,11,12,20,26,29,33,49,56,71,70
CALLAN ,49,53,56,46,42,28,26,22,30,28,29,21,33,38,45,54,84,89,54,49
CALLEM ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4,:,5,5,:
CALLEN ,29,21,20,20,11,17,6,:,4,5,:,7,3,3,3,5,7,13,3,5
CALLIUM ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
CALLON ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:
CALLUM ,798,803,855,1322,1580,2044,2438,2543,3055,3937,3637,3367,3363,3640,4142,4911,5587,5600,4746,4281
CALLUM-JAMES ,3,4,:,:,6,11,6,7,:,5,:,3,:,:,:,:,:,:,:,:
CALLUM-JAY ,:,:,:,:,:,:,:,3,5,:,:,:,3,:,:,:,:,:,:,:
CALLUM-JOHN ,:,:,:,:,4,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CALLUMN ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4,5
CALLUN ,4,3,:,3,:,4,:,3,3,5,:,4,7,:,5,4,:,9,3,5
CALLY ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6,:,:,:,:
CALOGERO ,:,:,:,:,:,:,:,:,:,:,:,:,3,3,:,:,:,:,3,:
CALON ,4,:,3,:,:,4,4,:,:,:,:,:,:,:,:,:,:,:,:,:
CALUB ,:,3,:,:,:,5,:,:,:,:,4,:,:,:,:,3,:,:,:,:
CALUM ,93,47,69,74,115,163,199,269,371,575,447,225,252,254,240,273,409,483,554,614
CALUMN ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4,4,:,:,:,3
CALVERT ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
CALVIN ,99,97,89,96,91,129,103,113,104,77,62,77,83,65,74,89,128,159,151,147
CALVYN ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:
CALYB ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
CAMARA ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:
CAMARAN ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:
CAMARI ,:,5,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAMARON ,:,:,:,3,:,:,:,:,:,5,7,6,4,:,:,:,4,6,:,:
CAMBELL ,:,:,:,:,:,:,:,:,5,5,:,:,:,4,3,:,:,:,:,:
CAMDEN ,24,19,37,16,14,11,9,10,4,10,5,11,8,6,5,3,8,4,:,4
CAMERAN ,:,3,:,:,4,3,4,3,6,7,5,11,7,9,7,13,8,6,8,6
CAMEREN ,:,:,:,:,:,:,:,3,:,:,3,:,3,:,3,:,4,:,:,:
CAMERON ,451,513,659,849,848,1191,1378,1627,1919,2096,2121,2585,2979,2756,2911,3049,3181,2655,2231,1791
CAMERON-JAMES ,8,3,5,6,8,6,3,9,3,3,4,:,:,:,:,:,4,:,:,:
CAMERON-JAY ,:,:,:,:,:,:,3,4,:,:,:,3,:,:,:,:,:,:,:,:
CAMERON-LEE ,:,:,:,:,6,7,:,:,5,3,5,8,:,:,:,:,:,:,:,:
CAMERON-LEWIS ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
CAMILLE ,4,3,8,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:
CAMILO ,4,:,3,4,6,6,6,4,5,4,3,3,:,4,5,3,:,:,:,:
CAMPBELL ,16,17,21,15,16,26,25,21,23,27,24,32,23,26,27,20,23,17,21,25
CAMRAN ,5,3,:,5,:,5,5,4,10,6,5,7,7,8,4,3,5,7,3,5
CAMREN ,3,:,:,:,3,4,3,7,3,5,8,3,3,5,3,3,:,:,:,:
CAMRON ,14,11,19,28,25,36,70,72,79,80,95,70,79,43,29,22,26,17,12,9
CAM'RON ,:,4,:,6,4,:,5,6,7,21,11,14,13,5,:,:,4,3,:,:
CAMRYN ,:,:,3,:,:,:,4,:,4,:,:,:,:,:,:,:,:,:,:,:
CAN ,8,5,6,:,9,9,7,5,13,9,18,7,4,14,23,15,20,27,17,15
CANAAN ,:,6,:,:,6,3,5,4,3,7,:,:,:,3,6,:,7,4,:,5
CANE ,:,:,:,:,:,:,:,:,:,5,:,:,4,3,5,3,4,6,7,:
CANER ,3,:,:,:,:,:,:,7,:,4,:,6,6,4,5,8,5,8,3,4
CAOIMHIN ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CAOL ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:
CAOLAN ,12,15,6,11,10,8,8,8,8,9,10,15,9,6,13,14,15,14,8,14
CARADOG ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:
CARDELL ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
CAREY ,:,:,7,:,:,:,4,:,3,:,:,:,4,:,:,4,:,5,4,3
CARL ,53,54,45,58,49,60,102,91,113,110,93,125,161,142,177,193,243,286,292,387
CARLIN ,:,:,3,:,:,3,3,3,:,3,5,:,6,4,6,:,3,4,3,4
CARLISLE ,3,4,5,4,:,6,:,:,:,:,:,:,:,:,:,:,:,:,:,:
CARLITO ,4,6,4,4,7,4,4,3,8,3,7,4,3,3,3,:,4,:,3,:
