Name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
AARON-LEE ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,3,:,:
AARONVEER ,:,:,:,:,3,:,:,:,4,:,:,:,:,:,:,:,3,:,4,:
AAROON ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,3,3,:
AARRON ,:,:,:,3,6,7,4,4,12,9,5,10,7,9,14,16,24,31,26,20
AARSH ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
AARUN ,3,:,4,:,:,4,:,3,:,4,4,4,:,3,:,4,4,4,:,5
AARUSAN ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARUSH ,39,30,39,38,49,45,25,27,22,7,3,:,:,:,:,:,:,:,:,:
AARVIN ,4,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
AARYA ,6,5,6,5,3,8,3,:,4,5,:,:,:,:,:,:,:,:,:,:
AARYAN ,83,75,71,72,78,71,76,64,55,61,40,23,13,13,:,:,3,3,:,:
AARYAV ,4,4,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARYN ,:,:,3,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARYUN ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AARYZ ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AASHIR ,4,:,7,3,8,6,5,5,9,8,3,4,:,:,:,:,5,:,:,:
AASHISH ,:,:,:,3,4,5,:,:,3,3,:,:,:,:,4,:,:,:,3,:
AASHMAN ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AASIF ,:,:,:,:,:,:,:,:,:,3,:,:,:,3,:,:,:,:,:,:
AASIM ,5,3,8,7,:,3,9,4,5,5,8,7,8,7,6,:,6,6,4,5
AATHAVAN ,:,:,4,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AATHISH ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AATIF ,:,:,3,:,:,:,4,8,5,:,3,:,3,4,:,3,5,4,:,6
AATISH ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4
AAVAI ,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAVISH ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYAAN ,4,5,4,5,:,:,5,3,3,3,3,:,:,:,:,:,:,:,:,:
AAYAN ,88,84,78,85,79,87,121,105,105,73,15,4,:,:,:,:,:,:,:,:
AAYANSH ,5,5,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYDEN ,:,3,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
AAYUSH ,14,19,19,21,27,23,17,15,12,13,19,11,4,4,5,:,4,:,4,3
AAZAN ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABAAN ,6,17,7,6,8,:,6,:,4,:,5,:,:,3,:,:,:,:,:,:
ABAAS ,:,:,:,3,:,:,:,4,:,5,:,3,3,:,:,4,5,4,:,:
ABAN ,:,5,6,:,3,3,:,4,3,:,4,:,:,:,:,:,:,:,:,:
ABANOUB ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3
ABAS ,:,:,:,3,3,:,5,:,:,:,:,6,:,4,4,:,:,4,3,6
ABASS ,4,:,:,:,:,3,6,3,:,:,:,:,5,:,7,:,:,5,:,3
ABAYOMI ,:,:,:,:,:,:,4,:,:,:,:,3,:,:,3,3,:,4,5,3
ABBA ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABBAAS ,:,:,:,:,:,:,:,3,3,:,3,3,5,4,:,:,3,:,3,:
ABBAS ,51,59,50,38,45,48,66,43,34,60,37,54,51,54,31,52,37,47,30,37
ABBASS ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:
ABD ,5,9,8,8,11,12,7,8,7,9,9,7,6,8,5,:,4,3,4,5
ABDAAL ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDAL ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,3,:,7
ABDALLA ,11,10,10,10,10,10,6,10,12,12,11,10,8,4,11,3,6,:,:,:
ABDALLAH ,37,22,19,20,19,34,22,18,24,22,14,20,16,14,9,9,12,6,:,7
ABDALRAHMAN ,:,:,:,3,:,3,:,:,4,:,:,:,:,:,:,:,:,:,:,:
ABDARAHMAN ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABDEL ,4,7,6,6,5,10,4,5,7,10,6,13,8,5,6,6,3,:,4,4
ABDELAZIZ ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDELKADER ,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDELKARIM ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,3,:
ABDELLAH ,:,:,:,3,3,:,:,6,:,5,6,3,:,:,:,:,:,:,:,:
ABDELMALEK ,3,:,:,:,3,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDELMOUMEN ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDELRAHIM ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDELRAHMAN ,:,8,5,6,5,5,:,5,:,5,6,:,3,5,:,:,3,:,:,:
ABDELRAHMANE ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
ABDERAHMAN ,:,5,:,:,:,:,3,:,:,3,:,:,:,:,:,:,:,:,:,:
ABDERAHMANE ,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:
ABDERRAHMAN ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDERRAHMANE ,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:
ABDI ,6,7,6,8,5,17,15,11,13,23,20,19,29,26,20,10,10,12,11,10
ABDIASIS ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDIAZIZ ,:,:,6,5,:,:,4,:,:,5,3,4,:,5,4,:,5,:,3,:
ABDIFATAH ,:,:,:,3,7,4,:,5,7,4,7,5,5,7,4,3,:,3,:,3
ABDIHAFID ,:,3,:,4,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDIHAKIM ,:,:,:,:,:,4,:,:,:,:,6,:,:,:,:,:,:,3,5,:
ABDIHAKIN ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
ABDIHAMID ,:,:,:,:,3,:,:,:,:,:,4,3,:,:,:,:,:,:,:,:
